num, code, name,address, class,long,lat
"1","1109","서대문","서대문구 백련사길 19 (서대문체육문화회관)","서울시청AWS","126.9279245","37.583785"
"2","1108","강남","강남구 삼성동 16-1 (강남구청 제1별관)","서울시청AWS","127.0459098","37.5205953"
"4","1106","영등포","영등포구 양평동5가 양평교 옆 (양평 제2빗물펌프장)","서울시청AWS","126.8878265","37.5425745"
"5","1105","구로","구로구 구로동 704-57 (구로2동 주민센터)","서울시청AWS","126.8810297","37.4938322"
"6","1104","마포","마포구 성산동 445 (성산빗물펌프장)","서울시청AWS","126.8986302","37.5765291"
"7","1103","도봉","도봉구 창동 362-1 (도봉소방서(창동 119 안전센터))","서울시청AWS","127.0410068","37.6716593"
"8","1102","성북","성북구 종암동 80-8 (종암동 주민센터)","서울시청AWS","127.0294138","37.6030454"
"9","1101","동대문","동대문구 휘경동 348 (휘경빗물펌프장)","서울시청AWS","127.0677087","37.591849"
"10","1100","남산","중구 예장동 산5-85 (서울시청 남산별관)","서울시청AWS","126.9900194","37.5586689"
"11","403","송파","송파구 잠실동 40-1 (롯데월드)","기상청AWS","127.0983106","37.5110096"
"13","407","노원","노원구 공릉동 230-3 (육군사관학교)","기상청AWS","127.0873044","37.6221956"
"14","1119","중구","중구 장충동 2가 208-1 (중부수도사업소)","서울시청AWS","127.0009141","37.5561666"
"16","423","구로","구로구 궁동 213-42 (수궁동사무소)","기상청AWS","126.8312293","37.4861128"
"17","405","양천","양천구 목동 915 (목동주차장)","기상청AWS","126.8772291","37.5268081"
"18","419","중구","중구 회현동1가 산1-19 (한국삭도(주))","기상청AWS","126.9843189","37.5562988"
"19","414","성북","성북구 정릉동 861-1 (국민대학교)","기상청AWS","126.9972197","37.613296"
"20","1123","관악","관악구 성현동 1712-9 (성현동 주민 센터)","서울시청AWS","126.9461157","37.4923181"
"21","1117","성동","성동구 왕십리길 544 성수1가동 685-124 (서울시한강","서울시청AWS","127.0396135","37.5417756"
"22","1110","금천","금천구 독산2동 1035-13 (독산2동 주민센터)","서울시청AWS","126.8976223","37.4688256"
"23","110","김포공항","강서구 공항동 1번지 (김포공항)","기상청AWS","126.7954326","37.5594755"
"26","401","서초","서초구 서초동 1650 (서울교육대학교)","기상청AWS","127.0179133","37.4828143"
"27","410","기상청","동작구 신대방동 460-18 (기상청)","기상청AWS","126.920722","37.4963142"
"28","400","강남","강남구 삼성동 42 (삼릉초등학교)","기상청AWS","127.0464123","37.5122075"
